,Date,MUCAPE,DCAPE,LCL,LFC,PW,7-5LR,MeanRH,MeanMixR,SfcT,SfcTd,DD,FZL_AGL,WC,0-6km Shear Dir,0-6km Shear Mag,MW Dir,MW Mag,C Up Dir,C Up Mag,C Dn Dir,C Dn Mag,SM Dir,SM Mag,4-6km dir,4-6km mag,deterministicRRA,probabilisticRRA,Year,Month,Basins,Flood,Result
21,05/22/2011,359.13,244.74,1596.95,2559.67,1.8,7.48,53.88,6.02,19.51,5.05,12.79,2265.56,610.73,222.61,26.34,225.01,11.49,210.46,15.35,216.13,28.65,255.01,8.61,207.82,17.17,,,2011.0,5.0,0.0,No Flooding,0.0
22,05/23/2011,863.51,454.92,1319.17,1596.07,1.62,7.97,61.82,6.76,18.38,6.51,10.53,2035.6,622.15,238.53,40.08,230.47,16.74,232.01,20.24,232.15,41.09,260.47,12.56,207.33,22.26,,,2011.0,5.0,0.0,No Flooding,0.0
23,05/24/2011,184.87,341.25,1746.91,2173.35,1.22,8.0,43.4,4.19,16.91,1.0,12.34,1769.37,0.0,293.91,42.37,295.11,19.52,283.85,11.31,292.55,39.88,325.11,14.64,266.87,19.77,,,2011.0,5.0,0.0,No Flooding,0.0
24,05/25/2011,0.0,426.87,2497.97,-999.0,1.56,6.25,48.67,4.98,20.82,2.44,15.07,2528.27,166.84,262.2,56.81,229.71,19.52,272.19,28.32,256.12,50.36,259.71,14.64,254.04,23.62,,,2011.0,5.0,0.0,No Flooding,0.0
25,05/26/2011,5.12,456.36,2201.06,-999.0,1.38,6.83,33.24,4.53,22.23,1.01,17.63,2533.12,304.77,277.07,69.66,273.18,30.62,260.25,23.32,270.87,62.33,303.18,22.96,259.71,32.14,,,2011.0,5.0,0.0,No Flooding,0.0
26,05/27/2011,0.0,201.16,2903.95,-999.0,1.45,6.53,34.24,4.36,23.57,0.34,19.92,2604.26,0.0,267.36,57.88,263.76,35.4,259.3,24.11,261.77,66.43,293.76,26.55,253.41,37.57,,,2011.0,5.0,0.0,No Flooding,0.0
27,05/28/2011,137.02,156.72,2750.2,-999.0,1.94,7.23,37.79,5.77,24.52,3.53,18.68,2694.85,0.0,256.65,49.43,236.17,36.91,261.9,15.21,245.27,56.69,266.17,27.69,215.41,26.43,,,2011.0,5.0,0.0,No Flooding,0.0
28,05/29/2011,21.17,173.3,2529.87,-999.0,1.28,6.14,34.51,3.86,18.58,-1.79,17.91,1836.3,0.0,205.92,75.36,208.27,45.27,193.19,32.62,202.94,86.15,238.27,33.95,182.36,49.49,,,2011.0,5.0,0.0,No Flooding,0.0
29,05/30/2011,123.71,427.89,2092.8,-999.0,0.97,7.94,42.11,3.41,15.98,-3.49,17.03,1602.17,0.0,284.83,55.09,276.61,22.79,274.71,20.69,277.74,53.3,306.61,17.09,272.04,31.53,,,2011.0,5.0,0.0,No Flooding,0.0
30,05/31/2011,0.0,292.45,4440.31,-999.0,0.74,6.51,26.76,3.03,23.95,-4.38,23.02,2698.11,0.0,240.77,41.51,211.73,29.82,237.4,16.9,223.89,49.97,241.73,22.36,218.93,20.95,,,2011.0,5.0,0.0,No Flooding,0.0
31,06/01/2011,0.0,261.73,4086.3,-999.0,1.23,8.19,14.99,3.05,26.83,-3.85,28.49,3107.09,0.0,204.14,70.03,205.44,43.31,193.4,27.01,202.87,76.65,235.44,32.48,188.05,44.33,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
32,06/02/2011,0.0,498.96,4130.02,-999.0,0.49,7.43,11.84,1.54,21.86,-13.22,34.06,2238.47,0.0,214.72,63.36,225.29,36.56,197.57,31.12,213.85,73.64,255.29,27.42,190.13,39.69,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
33,06/03/2011,0.0,257.43,5443.39,-999.0,0.52,6.71,16.04,1.63,21.22,-12.06,29.0,2267.61,0.0,229.68,47.13,209.98,17.48,230.37,26.15,224.78,47.79,239.98,13.11,215.54,22.18,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
34,06/04/2011,0.0,306.07,5641.72,-999.0,0.64,7.27,12.26,1.85,27.22,-10.5,33.54,2908.58,0.0,222.56,28.7,200.97,22.95,209.85,9.6,204.36,32.65,230.97,17.21,188.55,18.07,,,2011.0,6.0,0.0,No Flooding,0.0
35,06/05/2011,0.0,628.44,4633.94,-999.0,0.88,8.34,11.3,2.62,30.26,-5.87,33.51,3222.87,0.0,203.19,25.86,196.77,26.2,183.52,8.62,195.44,36.26,226.77,19.65,159.52,19.33,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
36,06/06/2011,0.0,666.05,3187.13,-999.0,1.02,7.32,21.21,3.36,26.45,-3.71,25.88,2780.35,0.0,230.34,54.87,241.04,32.89,228.26,15.09,235.74,55.02,271.04,24.67,210.1,37.73,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
37,06/07/2011,0.0,607.33,3565.22,-999.0,0.65,7.15,18.28,2.59,25.23,-6.98,29.12,2618.13,0.0,241.69,41.61,229.32,25.58,234.85,14.48,231.84,45.69,259.32,19.19,210.7,27.25,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
38,06/08/2011,0.0,925.61,4165.37,-999.0,0.7,8.17,12.8,2.26,26.09,-8.22,30.86,2684.78,0.0,212.06,35.65,226.62,19.65,192.52,12.82,215.34,34.11,256.62,14.74,187.85,27.99,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
39,06/09/2011,0.0,217.64,3212.16,-999.0,1.17,7.21,23.34,3.55,25.13,-2.99,26.23,2641.36,0.0,254.52,29.02,271.98,15.89,206.51,17.85,239.29,31.98,301.98,11.92,255.76,17.16,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
40,06/10/2011,33.17,810.24,2878.97,-999.0,1.14,8.19,27.16,3.89,25.64,-1.17,23.31,2819.12,0.0,232.18,39.89,207.65,13.63,249.81,21.94,235.04,38.27,237.65,10.22,226.24,19.42,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
41,06/11/2011,0.0,1265.41,3974.95,-999.0,0.87,8.55,15.02,2.99,28.38,-5.28,32.62,2892.14,0.0,218.71,16.93,219.01,19.99,194.31,2.05,217.4,22.73,249.01,14.99,171.15,13.97,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
42,06/12/2011,14.76,662.17,4011.87,-999.0,1.01,9.08,13.73,2.82,28.03,-7.67,33.01,2869.69,0.0,258.86,17.13,233.64,15.41,198.06,14.2,219.89,31.22,263.64,11.56,209.42,19.18,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
43,06/13/2011,24.19,227.96,3488.61,-999.0,1.79,8.7,24.15,4.27,27.08,-1.16,26.03,2806.6,0.0,254.96,20.27,264.48,12.86,225.38,7.73,252.88,21.23,294.48,9.64,207.07,16.45,0.0,0.375,,,,,
44,06/14/2011,0.0,1082.06,2788.01,-999.0,1.26,7.3,31.65,5.41,27.9,2.88,22.56,3046.57,108.76,302.74,24.29,301.77,17.19,266.7,10.07,292.09,30.64,331.77,12.89,287.77,17.25,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
